experiment_name,evaluation_split,class_name,architecture,epochs,image_size,resize_mode,augmentation,sampling_strategy,pretrained,split_strategy,seed,early_stopping_patience,checkpoint_min_delta,timestamp,experiment_path,result_status,best_epoch,checkpoint_metric,checkpoint_score,valid_images,valid_dice,valid_iou,valid_precision,valid_recall,valid_f1,valid_mean_gt_area_px,valid_mean_pred_area_px,valid_positive_images,valid_empty_gt_images,valid_positive_dice,valid_positive_iou,valid_positive_precision,valid_positive_recall,valid_empty_gt_false_positive_images,valid_empty_gt_false_positive_rate,valid_empty_gt_mean_pred_area_px,valid_positive_mean_gt_area_px,valid_positive_mean_pred_area_px,valid_combined_la_score,valid_loss,test_images,test_dice,test_iou,test_precision,test_recall,test_f1,test_mean_gt_area_px,test_mean_pred_area_px,test_positive_images,test_empty_gt_images,test_positive_dice,test_positive_iou,test_positive_precision,test_positive_recall,test_empty_gt_false_positive_images,test_empty_gt_false_positive_rate,test_empty_gt_mean_pred_area_px,test_positive_mean_gt_area_px,test_positive_mean_pred_area_px,test_combined_la_score,test_loss,parameter_count,checkpoint_path
unet_la_50ep_group_video_balanced,test,LA,unet,50,512,full_resize,none,balanced_la,False,group_video,42,15,0.0001,2026-06-27T19:08:47,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_balanced,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.8332215647154214,0.7852512210760665,0.8374379473185417,0.9220831553594252,0.8332215647154214,410.7920792079208,430.8910891089109,55.0,46.0,0.8391886895462279,0.7510976948630489,0.8469315012355942,0.8569163398418532,8.0,0.1739130434782608,30.130434782608692,754.3636363636364,766.0727272727273,0.6652756460679671,0.5473648382000403,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_balanced\best_model.pth
unet_la_50ep_group_video_earlystop,validation,LA,unet,50,512,full_resize,none,natural,False,group_video,42,15,0.0001,2026-06-27T12:50:17,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_earlystop,controlled_experimental,13.0,combined_la_score,0.2358058869678487,202.0,0.6725156594508108,0.6598373401760218,0.7032881946734025,0.9528825002731665,0.6725156594508108,89.82178217821782,69.18316831683168,16.0,186.0,0.5530101880431175,0.3929464071989059,0.9415134452283382,0.4051415659487247,59.0,0.3172043010752688,34.354838709677416,1134.0,474.0625,0.2358058869678487,0.9592119750410024,,,,,,,,,,,,,,,,,,,,,,,
unet_la_50ep_group_video_earlystop,test,LA,unet,50,512,full_resize,none,natural,False,group_video,42,15,0.0001,2026-06-27T12:50:17,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_earlystop,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.7694749902106421,0.6958940287943788,0.8859252366650547,0.7755610765856622,0.7694749902106421,410.7920792079208,296.6237623762376,55.0,46.0,0.631217708652767,0.4960963067792651,0.8450627066872337,0.5878485224573068,3.0,0.0652173913043478,2.260869565217391,754.3636363636364,542.8181818181819,0.5660003173484193,0.6652041939225527,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_50ep_group_video_earlystop\best_model.pth
unet_la_augx4_10ep_group_video_balanced,validation,LA,unet,10,512,full_resize,x4,balanced_la,False,group_video,42,10,0.0001,2026-06-28T23:59:09,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_augx4_10ep_group_video_balanced,controlled_experimental,1.0,combined_la_score,-0.0918949500917987,202.0,0.6375098669961009,0.6295347150861983,0.6391284302028751,0.9388313561604164,0.6375098669961009,89.82178217821782,122.63861386138612,16.0,186.0,0.236062039155513,0.1353757462929934,0.256496399641037,0.2277458715252578,61.0,0.3279569892473118,50.37096774193548,1134.0,962.75,-0.0918949500917987,0.9858960214227732,,,,,,,,,,,,,,,,,,,,,,,
unet_la_augx4_10ep_group_video_balanced,test,LA,unet,10,512,full_resize,x4,balanced_la,False,group_video,42,10,0.0001,2026-06-28T23:59:09,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_augx4_10ep_group_video_balanced,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.8244588883748006,0.7616667692565539,0.8142567440942382,0.9034397867706092,0.8244588883748006,410.7920792079208,444.6930693069307,55.0,46.0,0.78673359481846,0.6714244306194979,0.7679987480486998,0.8226803357060278,6.0,0.1304347826086956,21.47826086956522,754.3636363636364,798.6545454545454,0.6562988122097643,0.5775852594340202,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_augx4_10ep_group_video_balanced\best_model.pth
unet_la_padding_512_50ep_group_video_balanced,validation,LA,unet,50,512,original_or_padding,none,balanced_la,False,group_video,42,15,0.0001,2026-06-29T00:43:48,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_padding_512_50ep_group_video_balanced,controlled_experimental,1.0,combined_la_score,1.2004524674660844e-10,202.0,0.9207920792174292,0.9207920792174292,1.0,0.9207920792174292,0.9207920792174292,67.2871287128713,0.0,16.0,186.0,1.2004524674660844e-10,1.2004524674660844e-10,1.0,1.2004524674660844e-10,0.0,0.0,0.0,849.5,0.0,1.2004524674660844e-10,1.002492655621897,,,,,,,,,,,,,,,,,,,,,,,
unet_la_padding_512_50ep_group_video_balanced,test,LA,unet,50,512,original_or_padding,none,balanced_la,False,group_video,42,15,0.0001,2026-06-29T00:43:48,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_padding_512_50ep_group_video_balanced,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.4554455446548518,0.4554455446548518,1.0,0.4554455446548518,0.4554455446548518,308.2772277227723,0.0,55.0,46.0,1.8436424634424042e-10,1.8436424634424042e-10,1.0,1.8436424634424042e-10,0.0,0.0,0.0,566.1090909090909,0.0,1.8436424634424042e-10,1.0091386549543626,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_padding_512_50ep_group_video_balanced\best_model.pth
unet_la_positive_x4_50ep_group_video_natural,validation,LA,unet,50,512,full_resize,positive_x4,natural,False,group_video,42,15,0.0001,2026-06-29T22:02:54,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_positive_x4_50ep_group_video_natural,controlled_experimental,11.0,combined_la_score,-0.1016867422568862,202.0,0.4014526860030806,0.3887112842852761,0.4050477349889395,0.9588044844198936,0.4014526860030806,89.82178217821782,155.28217821782178,16.0,186.0,0.5058401394635439,0.3449799427762627,0.5512276329100132,0.4799066158011555,113.0,0.6075268817204301,87.36559139784946,1134.0,944.8125,-0.1016867422568862,0.9645360584306244,,,,,,,,,,,,,,,,,,,,,,,
unet_la_positive_x4_50ep_group_video_natural,test,LA,unet,50,512,full_resize,positive_x4,natural,False,group_video,42,15,0.0001,2026-06-29T22:02:54,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_positive_x4_50ep_group_video_natural,controlled_experimental,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.4354874254980335,0.3619680394604395,0.5373931360137381,0.7733043644019393,0.4354874254980335,410.7920792079208,349.6732673267327,55.0,46.0,0.6360769067298282,0.5010685796426101,0.8232128478586673,0.5837043782653795,37.0,0.8043478260869565,98.7391304347826,754.3636363636364,559.5454545454545,-0.1682709193571283,0.6637450688988855,24436369.0,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_positive_x4_50ep_group_video_natural\best_model.pth
unet_la_pretrained_imagenet_50ep_balanced,validation,LA,unet,50,512,full_resize,none,balanced_la,True,group_video,42,15,0.0001,2026-06-29T00:58:06,<PROJECT_ROOT>\outputs\experimental_segmentation_pipeline\experiments\unet_la_pretrained_imagenet_50ep_balanced,controlled_experimental,18.0,combined_la_score,0.3226448652780144,202.0,0.86037983479393,0.8521542220366266,0.8731543522216542,0.9497579723633456,0.86037983479393,89.82178217821782,83.78217821782178,16.0,186.0,0.424795402912423,0.3209470418514684,0.5860736854374409,0.3656944010872394,19.0,0.1021505376344086,44.655913978494624,1134.0,538.625,0.3226448652780144,0.970961041969828,,,,,,,,,,,,,,,,,,,,,,,
